Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
436.85,0.28826,210.74,11.271,0.11943,0.059883,0.21258,0.090162,0.17371,0.065501,0.7212571117532077
442.57,0.28887,210.24,11.302,0.1194,0.059862,0.22034,0.090223,0.17381,0.065506,0.7291344827999737
442.55,0.288,210.24,11.151,0.11946,0.059874,0.22085,0.090171,0.17376,0.065529,0.7296420741183693
442.78,0.2887,210.22,11.27,0.11941,0.059864,0.22109,0.090213,0.1738,0.065511,0.7298912362634897
442.65,0.28887,210.24,11.118,0.11943,0.059857,0.22735,0.090082,0.17367,0.065529,0.7359144279016302
442.57,0.29014,210.24,11.311,0.11935,0.059839,0.22858,0.090134,0.17371,0.065498,0.7371161357279022
442.35,0.28878,209.89,10.968,0.11944,0.059847,0.22986,0.089935,0.17351,0.065553,0.7381473291934486
442.83,0.29045,208.87,11.107,0.11932,0.059802,0.23234,0.089858,0.17341,0.065532,0.74025657089768
442.48,0.28976,210.22,11.09,0.1194,0.05984,0.2346,0.089987,0.17356,0.065527,0.7429200760113207
429.66,0.29374,206.97,11.21,0.11905,0.059707,0.24137,0.089263,0.17264,0.065503,0.7475421918395174
