Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
176.67,595.51,62.904,10.458,0.12743,0.024943,0.26823,0.21481,0.13505,0.10148,0.11224,0.12087,0.026389,1.131449381919949
176.86,596.5,62.752,10.428,0.12746,0.024923,0.26821,0.2154,0.13507,0.10154,0.11235,0.12087,0.02636,1.1321847314341011
176.71,596.14,62.98,10.511,0.12741,0.024962,0.26827,0.21755,0.13501,0.10142,0.11208,0.12088,0.026408,1.1339807863599567
177.43,596.44,62.864,10.464,0.1274,0.024907,0.26823,0.2189,0.13496,0.10142,0.11225,0.12084,0.026373,1.1352888329660715
177.45,590.77,63.041,10.527,0.12725,0.024894,0.26824,0.2201,0.13478,0.10121,0.11215,0.12079,0.02644,1.1358473323368385
176.91,588.32,63.334,10.538,0.12723,0.024923,0.26825,0.22039,0.1348,0.10117,0.11202,0.1208,0.026484,1.1360661719641416
176.77,582.55,63.131,10.488,0.12716,0.024874,0.26818,0.2203,0.13476,0.10116,0.11245,0.12074,0.02648,1.1361095054244825
177.22,597.03,62.864,10.539,0.12737,0.024944,0.26829,0.22032,0.13492,0.10137,0.11207,0.12086,0.026398,1.1365473943401063
177.02,597.08,62.763,10.529,0.12739,0.024949,0.26829,0.22158,0.13495,0.10141,0.11211,0.12087,0.02639,1.1379346260641194
177.26,597.2,62.753,10.541,0.12737,0.02494,0.26829,0.22191,0.13491,0.10138,0.1121,0.12086,0.02639,1.1381491852596073
