Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
636.02,0.47438,116.77,6.7209,0.12736,0.093858,0.031946,0.25928,0.50506,0.11447,0.56445,0.029025,0.13292,1.8583772218452577
634.69,0.47154,119.28,6.7238,0.12736,0.093898,0.031787,0.25926,0.4886,0.11446,0.58244,0.029142,0.13297,1.8599172892295517
638.15,0.47296,116.75,6.727,0.12735,0.093832,0.031897,0.25931,0.50337,0.11447,0.56928,0.029019,0.13292,1.8614530040564168
634.68,0.47134,119.27,6.7287,0.12735,0.093887,0.031744,0.25927,0.4883,0.11446,0.58434,0.029142,0.13296,1.8614603941096635
632.95,0.47842,118.18,6.7569,0.12723,0.093812,0.031615,0.25935,0.49551,0.11446,0.57777,0.029066,0.13287,1.8616857999110545
629.1,0.47492,118.77,6.72,0.12735,0.093933,0.031825,0.25924,0.49722,0.11445,0.57607,0.02914,0.13296,1.8621919298809715
629.03,0.47496,118.74,6.7199,0.12735,0.093933,0.031827,0.25924,0.49779,0.11445,0.57592,0.029139,0.13296,1.8626145243548995
629.53,0.47586,118.45,6.7625,0.12721,0.093827,0.031498,0.25935,0.48997,0.11446,0.58553,0.029111,0.1329,1.8638569696565412
637.24,0.47175,117.61,6.7373,0.12732,0.093827,0.031758,0.25932,0.49342,0.11447,0.58176,0.029063,0.13293,1.8638688096456602
631.91,0.48196,117.4,6.739,0.12727,0.093845,0.031826,0.25931,0.51207,0.11446,0.5645,0.029028,0.13286,1.865183185522183
