Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g243),Error (g223),Error (g238),Error (g185),Error (g138),Error (g164),Error (g50),Error (curve),Reduced Error
3293.7,0.10844,94.432,11.72,0.099425,0.059103,0.27472,0.1557,0.073737,0.1224,0.14514,0.1306,1.235,2.2957976928073798
3296.3,0.10938,94.999,11.672,0.099471,0.059201,0.29307,0.15569,0.073589,0.1224,0.14503,0.13055,1.221,2.299968328358095
3293.6,0.10131,98.536,11.54,0.098956,0.059881,0.40974,0.15631,0.073108,0.12252,0.1446,0.13327,1.233,2.431330480299067
3301.2,0.10793,92.514,11.796,0.099499,0.058865,0.27057,0.15562,0.073872,0.12238,0.14519,0.12964,1.3838,2.439435775681817
3021.1,0.10902,92.167,10.457,0.099706,0.059695,0.36222,0.15724,0.0737,0.12278,0.14406,0.12954,1.2989,2.4478693180680473
2914.7,0.10092,96.533,11.11,0.098405,0.058991,0.35,0.15764,0.076845,0.12231,0.1469,0.13781,1.3644,2.5133133978149056
3949.1,9.312,29.903,2.2338,0.11953,0.08892,0.19113,0.17096,0.098324,0.21232,0.094863,0.085394,1.4544,2.5158113964434357
3296.4,0.10802,91.544,11.724,0.099593,0.058849,0.28372,0.15564,0.073792,0.1224,0.14502,0.12885,1.4767,2.544510633538095
2938.0,0.10892,90.245,10.446,0.099654,0.059267,0.26712,0.15742,0.074827,0.1226,0.14476,0.12984,1.5235,2.5790063799396017
3313.9,0.11067,94.638,10.552,0.10019,0.060698,0.67573,0.15649,0.070514,0.12348,0.14182,0.12622,1.156,2.6111166397837
