Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1433.6,0.18112,125.01,5.2113,0.10976,0.048808,0.099895,0.25798,0.1363,0.03131,0.25403,0.11427,0.13494,1.187307872637182
1434.0,0.18004,125.13,5.2253,0.10965,0.048529,0.099791,0.2601,0.13626,0.031272,0.25411,0.11429,0.13485,1.1888544392294693
1456.6,0.1791,124.17,5.3201,0.10594,0.047254,0.099078,0.26683,0.13577,0.030962,0.25458,0.11439,0.13424,1.1890375857344846
1421.5,0.18321,124.06,5.2529,0.1076,0.048161,0.099539,0.26442,0.13606,0.031128,0.25428,0.11433,0.13471,1.1902067946670787
1476.3,0.17742,124.73,5.3378,0.10645,0.046989,0.098973,0.27223,0.13571,0.030955,0.25465,0.11439,0.13409,1.1944353502675464
1430.5,0.18246,124.99,5.187,0.1098,0.04919,0.10008,0.26469,0.13641,0.031403,0.25391,0.11424,0.13511,1.1948263904018666
1487.0,0.17647,124.64,5.3279,0.10822,0.047136,0.099024,0.27088,0.13578,0.030961,0.2546,0.11437,0.13412,1.1951076275088262
1490.5,0.1765,124.32,5.3422,0.10769,0.046973,0.098911,0.27204,0.13571,0.030915,0.25468,0.11439,0.13404,1.1953421374384319
1465.4,0.17809,124.12,5.3401,0.1052,0.04699,0.098937,0.27544,0.13569,0.030918,0.25468,0.11441,0.1341,1.196359187291447
1490.8,0.17665,123.92,5.3285,0.10865,0.047193,0.098981,0.272,0.13577,0.030913,0.25463,0.11437,0.13412,1.1966270851980307
