iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,83.99,6.1674,47.796,13.845,3.2362e-05,0.46282856708713277,0.07193458615511844,0.4857260570188466
2,226.28,0.07443,57.829,14.074,3.1666e-05,0.09664915212473649,0.0733879137590935,0.12000925060065938
3,313.01,4.6363,64.219,15.739,4.7744e-05,0.10261458442682089,0.07372694952777512,0.12608260133968507
4,275.74,0.060354,64.129,14.575,4.7301e-05,0.027496454783023486,0.07345616761307722,0.05087827913543955
5,267.61,0.11307,62.364,15.043,5.3439e-05,0.020449206664511454,0.07351257336049995,0.043848985523969757
6,222.09,414.08,62.556,13.728,5.46e-05,0.026597100591071454,0.0741707717455832,0.050206390503571965
