Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
0.018303,502.04,624.71,865.92,146.46,293.94,70.326,12.262,0.031313,0.7149,0.11613,0.14642,0.2185,0.077534,0.076928,0.093858,0.16463,1.6402111588283808
0.018014,502.11,624.64,865.93,144.96,291.49,72.955,12.292,0.031372,0.71628,0.1163,0.14619,0.21857,0.077375,0.076829,0.093925,0.16433,1.641170501518283
0.017793,501.68,624.64,865.15,144.95,299.49,70.958,12.22,0.031131,0.71691,0.11563,0.14635,0.21836,0.077616,0.076912,0.093893,0.1644,1.641189697312518
0.018315,504.18,625.89,865.92,145.49,293.91,70.198,12.257,0.031333,0.71643,0.11612,0.14644,0.2185,0.077506,0.07693,0.093823,0.16469,1.6417875788528846
0.017458,502.1,624.7,861.31,144.97,276.6,71.599,12.277,0.031756,0.72013,0.11731,0.1465,0.21881,0.077388,0.077438,0.09372,0.16504,1.6480920451779644
0.01641,502.1,625.87,861.3,145.07,272.88,72.135,12.278,0.031789,0.72157,0.11731,0.14647,0.21882,0.077409,0.077629,0.093693,0.16505,1.6497367711233215
0.018331,501.41,624.71,864.24,144.97,274.83,71.579,12.393,0.031976,0.72206,0.11803,0.14654,0.21895,0.077286,0.077325,0.093744,0.1652,1.651113028541164
0.017856,500.68,635.64,863.32,148.24,288.21,69.499,12.286,0.031524,0.73068,0.11675,0.14669,0.21865,0.077537,0.077314,0.093769,0.16511,1.658014654475989
0.017423,560.75,624.68,861.69,130.11,267.63,73.074,12.668,0.03269,0.73068,0.11824,0.14653,0.2191,0.076404,0.076852,0.093215,0.16597,1.6596952466312653
0.01765,501.49,624.69,861.39,147.65,270.43,71.422,12.461,0.032109,0.73014,0.1184,0.14664,0.21902,0.077268,0.077525,0.093714,0.16543,1.6602379954648545
