Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
820.06,0.32413,115.38,8.5332,0.1243,0.058173,0.09843,0.39678,0.055349,0.066022,0.7990552224302411
822.51,0.32407,114.51,8.7353,0.1237,0.058188,0.098453,0.40051,0.055281,0.065937,0.802063695371535
806.02,0.32347,116.4,8.727,0.1235,0.058138,0.098556,0.40082,0.055298,0.066038,0.8023461954405914
815.18,0.324,115.2,8.4714,0.1245,0.058175,0.098417,0.39999,0.055364,0.066066,0.8025154135259729
821.96,0.314,116.15,8.6155,0.1236,0.058091,0.098638,0.40091,0.055266,0.066108,0.8026132228244656
806.63,0.32269,116.29,8.8044,0.1232,0.058136,0.098598,0.40344,0.055268,0.066019,0.8046672346783821
828.46,0.32553,112.41,8.9453,0.12317,0.058239,0.098419,0.40444,0.0552,0.065828,0.8052912088205691
802.36,0.32827,116.52,8.7269,0.12366,0.058164,0.098486,0.40374,0.055329,0.066004,0.8053863165571807
811.45,0.3292,114.46,8.9329,0.12314,0.058216,0.098463,0.40503,0.055249,0.065881,0.8059721932959127
803.57,0.33539,113.62,8.9427,0.12337,0.058268,0.098341,0.40698,0.05527,0.065845,0.8080737298575554
