Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
0.056463,414.39,629.68,753.41,148.77,360.73,68.136,11.344,0.038597,0.77558,0.3221,0.13864,0.22141,0.055314,0.043339,0.099513,0.14735,1.8418485741041966
0.15904,511.55,604.22,765.13,149.85,254.65,70.048,11.545,0.042128,0.79183,0.30559,0.14028,0.22497,0.051539,0.041153,0.10036,0.1453,1.8431416573296946
0.056769,511.44,608.03,752.6,145.65,296.55,67.564,11.5,0.042382,0.73669,0.37995,0.13909,0.22342,0.052958,0.041788,0.099345,0.14719,1.8628102660693482
0.018318,516.62,632.73,860.25,142.83,291.29,69.649,12.229,0.043261,0.9972,0.12519,0.13668,0.22321,0.052866,0.04029,0.099814,0.14814,1.866641809088882
0.01822,516.6,633.42,852.1,146.0,291.86,70.024,12.075,0.043039,0.95287,0.17144,0.13681,0.22322,0.05259,0.040294,0.099911,0.14777,1.8679454932113992
0.017996,516.93,637.93,859.62,142.47,291.06,70.446,12.231,0.043332,1.0094,0.11494,0.13653,0.22321,0.052871,0.04016,0.099849,0.14809,1.8684092891578064
0.018146,508.17,647.16,857.89,142.84,295.93,69.867,12.206,0.043304,0.94715,0.19711,0.13652,0.22316,0.053059,0.040235,0.099793,0.14817,1.8884868312821563
0.018307,517.52,631.99,874.55,144.35,297.7,68.988,12.239,0.043165,0.97961,0.16538,0.1365,0.223,0.052963,0.04022,0.099709,0.14823,1.8887926484782391
0.018146,509.22,646.61,859.94,142.73,295.16,69.091,11.969,0.04308,0.92129,0.22315,0.13691,0.22326,0.052807,0.04055,0.099773,0.14816,1.8889835989642187
0.018307,517.29,633.08,874.68,146.76,291.33,69.663,12.236,0.043154,1.0249,0.12882,0.13655,0.2232,0.052636,0.040068,0.099946,0.14792,1.8972077811615653
