Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
2852.0,1.7544,465.26,3.9612,0.088354,0.12385,0.063447,0.15676,1.2527,0.22008,0.078999,0.1469,0.13356,2.2646974424963924
2849.7,1.7522,463.45,3.9554,0.088295,0.12397,0.063471,0.1567,1.2645,0.22002,0.078997,0.14678,0.13359,2.276348012541087
2901.6,1.7579,465.73,4.0153,0.088148,0.12303,0.063509,0.15766,1.2605,0.22054,0.079374,0.14759,0.1368,2.277163644322321
2820.1,1.7108,463.47,3.9459,0.088255,0.12439,0.063394,0.15651,1.2883,0.22011,0.078759,0.14658,0.13336,2.299610915531654
2851.7,1.7542,458.59,3.9539,0.088158,0.1241,0.063527,0.1567,1.2974,0.21994,0.079022,0.14665,0.13404,2.3095752014542317
2753.5,1.947,467.79,3.7314,0.089601,0.12609,0.063591,0.15352,1.3421,0.21701,0.078389,0.1441,0.12054,2.334938598033973
2722.7,1.7168,466.91,3.7915,0.088749,0.12633,0.063423,0.15443,1.3359,0.2187,0.078197,0.14472,0.1262,2.3366462473993286
2724.1,1.7171,468.75,3.8009,0.088814,0.12619,0.063377,0.1545,1.3385,0.21882,0.07817,0.14487,0.12619,2.33939820139542
2868.9,1.6843,483.8,3.9749,0.088238,0.12336,0.063381,0.15726,1.3278,0.22066,0.079305,0.14742,0.13549,2.3428888025376007
2792.5,1.7193,458.55,3.8869,0.088238,0.12521,0.063507,0.15576,1.3379,0.21952,0.078655,0.14575,0.13134,2.3458197151173894
