Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
238.35,114.44,64.739,15.857,7.1954e-05,0.073421,0.078773,0.057226,0.30375,0.06244,0.13117,0.70678843652886
240.48,114.46,64.121,15.934,7.3245e-05,0.073547,0.078657,0.057247,0.30361,0.062411,0.13136,0.7068369533414869
239.44,115.7,64.406,15.859,7.1241e-05,0.073533,0.078727,0.057209,0.30484,0.062451,0.13121,0.7079675803005054
239.01,112.43,64.443,15.863,7.1685e-05,0.073507,0.078636,0.057269,0.30599,0.062422,0.13126,0.7090866386756043
240.13,110.44,64.459,15.862,7.1618e-05,0.073572,0.078498,0.057319,0.30615,0.062397,0.13133,0.7092626603373908
240.12,112.48,64.228,15.886,7.1685e-05,0.07359,0.078564,0.057278,0.30623,0.062415,0.13132,0.7093951199261861
238.01,119.54,65.297,15.848,7.2464e-05,0.073301,0.079023,0.057133,0.30646,0.062479,0.13102,0.7094134130005266
240.83,112.51,64.116,15.888,7.1627e-05,0.073639,0.078521,0.057283,0.30729,0.06241,0.13136,0.7104964232820252
240.37,103.6,64.761,15.902,7.2178e-05,0.073553,0.078248,0.05746,0.3075,0.062333,0.13145,0.7105447757718562
241.88,111.18,64.15,15.941,7.1688e-05,0.073699,0.078413,0.057319,0.30779,0.06239,0.13142,0.7110249881128657
