Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1775.7,0.1377,120.52,12.606,0.25966,0.085878,0.068694,0.064326,0.12839,0.055861,0.6628101119208415
1775.3,0.13758,121.36,12.308,0.26094,0.086078,0.068626,0.064426,0.12854,0.055794,0.6644051399683863
1775.3,0.13793,121.05,12.306,0.26174,0.086058,0.068656,0.064421,0.12856,0.055794,0.6652282700426823
1774.6,0.13799,121.06,12.304,0.2619,0.08606,0.068655,0.064421,0.12856,0.055793,0.665392503762874
1769.7,0.13757,121.89,12.287,0.26253,0.086126,0.068574,0.064436,0.1285,0.05579,0.6659609254440053
1776.2,0.13722,122.33,12.291,0.26304,0.086148,0.068539,0.064429,0.12848,0.055801,0.6664388793383103
1751.8,0.13874,121.92,12.308,0.26607,0.08613,0.068554,0.064427,0.12845,0.055788,0.6694228959696933
1774.1,0.13724,122.79,12.394,0.2665,0.086135,0.068477,0.064389,0.12836,0.055832,0.6696958853374324
1791.2,0.13755,119.25,12.553,0.26927,0.085819,0.068815,0.064341,0.12853,0.055844,0.6726283062965518
1744.5,0.13967,122.91,12.297,0.26973,0.086206,0.068454,0.064408,0.12839,0.055801,0.6729907061526913
