Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
487.75,459.42,5.4753,519.37,78.312,113.66,64.119,13.805,0.11968,0.26316,0.12633,0.10433,0.2447,0.024145,0.027931,0.10446,0.10959,1.1243363962736177
473.44,464.96,4.2414,528.74,74.935,97.081,64.961,13.749,0.11958,0.26274,0.12602,0.10408,0.25218,0.023602,0.027161,0.105,0.11056,1.130909527780774
472.5,459.41,5.4537,517.12,76.833,98.31,64.399,13.927,0.12036,0.26323,0.12638,0.10315,0.25744,0.023129,0.027316,0.10383,0.10922,1.1340484767048835
493.1,464.71,6.3273,500.08,82.646,115.35,64.119,13.84,0.1199,0.26375,0.12662,0.10454,0.25752,0.023916,0.027867,0.10379,0.10923,1.1371273203227015
475.46,459.41,7.3059,519.56,79.334,112.83,64.165,13.887,0.12052,0.26357,0.12673,0.10246,0.26452,0.023483,0.028165,0.10304,0.10814,1.1406195812724267
474.76,498.03,1.2508,912.99,15.689,125.06,64.089,10.77,0.11648,0.2559,0.12624,0.099038,0.25619,0.033163,0.032619,0.11072,0.11194,1.1422893010132413
487.8,505.98,5.3125,515.04,74.853,115.86,64.12,13.844,0.11916,0.26314,0.12625,0.10436,0.26555,0.024874,0.028477,0.10456,0.10907,1.1454226919832702
488.11,459.27,9.4116,515.02,79.06,114.17,64.675,13.841,0.12116,0.26401,0.12743,0.10226,0.2752,0.023245,0.028376,0.1023,0.1075,1.1514873184273036
475.56,490.35,5.5709,527.71,77.419,113.0,64.102,15.589,0.12016,0.26388,0.12616,0.10186,0.27715,0.023725,0.028549,0.10378,0.10736,1.1526070830798594
473.47,459.85,5.0432,517.76,74.295,109.19,63.812,13.806,0.11958,0.26297,0.12615,0.10398,0.30823,0.024138,0.027991,0.10461,0.10945,1.1871094257295038
