Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
317.66,102.76,74.238,11.631,0.13247,0.11084,0.31966,0.22334,0.038003,0.032126,0.10945,0.050368,0.14238,1.158618321256748
316.35,105.41,74.529,12.004,0.1327,0.11094,0.31965,0.22372,0.037269,0.032189,0.10973,0.050521,0.1429,1.1596216097008236
313.97,100.65,74.775,11.963,0.13271,0.11094,0.32099,0.22376,0.037205,0.032235,0.10971,0.050597,0.14278,1.1609287007705427
317.21,105.7,74.31,12.041,0.13271,0.11095,0.32232,0.22375,0.037231,0.032244,0.10978,0.05051,0.14299,1.1624913261491843
315.43,107.5,74.227,11.991,0.13268,0.11094,0.32326,0.22368,0.037358,0.032104,0.1097,0.050461,0.14284,1.1630167338994035
313.22,100.12,74.886,12.015,0.13274,0.11096,0.32303,0.22383,0.037084,0.032238,0.10976,0.050634,0.14282,1.1630912744709747
315.64,93.304,74.829,11.928,0.13268,0.11095,0.32348,0.2238,0.037162,0.032496,0.10975,0.050664,0.14279,1.163784506702557
309.4,107.57,75.378,12.002,0.13275,0.11093,0.32836,0.22374,0.037179,0.03183,0.10964,0.0506,0.1426,1.1676227750813803
315.35,99.769,75.086,11.962,0.1327,0.11093,0.32827,0.22376,0.03718,0.032276,0.10972,0.050628,0.14282,1.1682925457992352
315.39,87.289,75.147,11.965,0.13271,0.11099,0.3312,0.22392,0.036983,0.032666,0.10982,0.050777,0.14281,1.1718799485502913
