iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,910.7981660366103,2.729338042036617,189.0184348029363,1.8858750353970875,0.9392222728205493,nan,nan
2,1376.6960118326238,0.03675473183078426,354.889243619851,16.950920501419127,0.353306018547565,nan,nan
3,3933.3431422937438,5.9221984479764505,53.141372533191806,13.837226461354382,0.32136284494626793,nan,nan
4,221.96186181559912,2.2394726867186936,263.57226750129604,19.6023203840313,0.34162371372053446,nan,nan
5,2850.193196432927,9.99413472382887,437.427919673209,3.5994214607635953,0.1671351649516818,nan,nan
6,2031.1010864360935,6.967057211861443,444.6817027655617,7.441672985792682,0.25878033320697935,nan,nan
7,3420.8145709710757,4.699405100029534,140.02892975685526,10.097216612869309,5.181064480658265,nan,nan
8,1638.612247807128,7.7973654080942545,72.244798321204,10.976120381372345,7.74638509539141,nan,nan
9,905.19,2.7489,190.08,1.8804,0.9397000017006657,nan,nan
10,910.09,2.7018,189.73,1.8593,0.8953642265442963,nan,nan
11,921.33,2.7464,188.04,1.8859,0.9466139682872405,nan,nan
12,909.29,2.7313,191.3,1.8865,0.9286383414240136,nan,nan
13,917.22,2.7577,187.36,1.8737,0.9466757730329265,nan,nan
14,921.06,2.7815,189.36,1.8802,0.9494589030656774,nan,nan
15,906.44,2.7666,189.7,1.8947,0.9637291261073833,nan,nan
16,908.52,2.7328,190.63,1.8943,0.9414550272373381,nan,nan
17,933.95,2.7145,192.24,1.9024,0.9138969220799117,nan,nan
18,915.08,2.7265,189.9,1.9135,0.954623591638314,nan,nan
19,903.18,2.7859,187.68,1.8691,0.9591954398557183,nan,nan
20,896.81,2.7733,189.43,1.9195,0.9953381286871564,nan,nan
21,915.08,2.7059,186.17,1.8741,0.9313010938383984,nan,nan
22,916.29,2.7635,186.24,1.8981,0.9789094455933205,nan,nan
23,911.42,2.7621,184.72,1.8843,0.9778249323470575,nan,nan
24,903.77,2.7256,186.06,1.8829,0.9559163773505012,nan,nan
25,923.03,2.7104,186.1,1.9059,0.9559152344214329,nan,nan
26,910.63,2.7765,186.02,1.8587,0.9514889894758676,nan,nan
27,906.2,2.7236,189.25,1.8873,0.939449353633078,nan,nan
28,900.19,2.7161,187.43,1.8713,0.9335200666547573,nan,nan
29,917.5,2.7002,189.85,1.9149,0.9417638312805457,nan,nan
30,914.6,2.7068,190.32,1.8968,0.9294762538460924,nan,nan
31,910.29,2.7428,189.96,1.8705,0.9244162616993237,nan,nan
