Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1605.3,0.33599,204.28,1.4387,0.19008,0.12318,0.54197,0.17236,0.25493,0.18894,0.20055,0.10484,0.12662,1.9034713597340578
1606.4,0.33598,204.24,1.4455,0.18994,0.12306,0.54324,0.1722,0.25495,0.18878,0.20062,0.1047,0.12658,1.904062083212076
1588.8,0.33751,204.88,1.4386,0.19009,0.12316,0.55592,0.17238,0.25493,0.18893,0.20054,0.10475,0.12661,1.9173187265509846
1604.7,0.33604,204.92,1.4476,0.1899,0.12303,0.55782,0.17216,0.25496,0.18873,0.20064,0.10466,0.12657,1.9184560036007996
1591.5,0.33735,205.24,1.4457,0.18994,0.12305,0.56102,0.17222,0.25495,0.18876,0.20061,0.10463,0.12657,1.9217644030588201
1607.4,0.34133,204.41,1.4394,0.19006,0.12316,0.56235,0.17232,0.2549,0.18894,0.20055,0.10491,0.12662,1.9237981305059746
1586.3,0.33734,203.8,1.4408,0.19005,0.12312,0.56325,0.17233,0.25494,0.18888,0.20055,0.10465,0.12659,1.9243655475127828
1584.6,0.33814,204.93,1.4479,0.1899,0.12301,0.56444,0.17217,0.25496,0.1887,0.20063,0.10454,0.12655,1.9248951165356487
1584.4,0.33817,204.91,1.4479,0.1899,0.12301,0.56444,0.17217,0.25496,0.1887,0.20063,0.10453,0.12655,1.924899420912173
1591.3,0.33738,205.44,1.4431,0.19,0.1231,0.56506,0.17228,0.25494,0.18883,0.20059,0.10469,0.12659,1.926069176893713
