Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1799.9,0.14378,123.16,4.4253,0.11335,0.10674,0.10106,0.061858,0.035017,0.14069,0.13888,0.24953,0.26309,1.2102119155748001
1756.6,0.14425,122.58,4.4626,0.11345,0.10612,0.098699,0.060788,0.034544,0.1402,0.13832,0.24987,0.2727,1.2146911252874313
1769.7,0.14343,122.28,4.4678,0.11342,0.10616,0.098735,0.060742,0.034552,0.14015,0.13833,0.24984,0.28368,1.2256253659086938
1770.0,0.14287,122.89,4.4624,0.11342,0.10623,0.099111,0.060792,0.034617,0.14024,0.13841,0.24981,0.28633,1.228962345571012
1715.0,0.14439,123.05,4.4621,0.11356,0.10585,0.098094,0.060442,0.034392,0.14019,0.13815,0.25004,0.28924,1.2299558852913508
1782.3,0.14702,119.93,4.4894,0.11338,0.10599,0.097409,0.060638,0.034357,0.13981,0.13809,0.24989,0.29229,1.2318539613106907
1768.8,0.1465,119.93,4.5099,0.11342,0.10573,0.096431,0.060065,0.034154,0.13957,0.13785,0.25004,0.30588,1.2431407352054373
1754.1,0.14329,125.77,4.4015,0.11346,0.1067,0.10184,0.061843,0.035102,0.14102,0.13898,0.2496,0.29625,1.2447860684022185
1767.3,0.14486,123.15,4.3304,0.11341,0.10743,0.10414,0.06371,0.035667,0.14177,0.13962,0.24922,0.29288,1.2478544324696244
1800.4,0.14653,122.22,4.4096,0.11333,0.10684,0.1013,0.062387,0.03511,0.14083,0.13897,0.24946,0.29963,1.2478643749560117
