iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,16.722,84.167,63.01,2.8644,0.5330392996496708,0.12089367950574825,0.5715209530134852
2,110.96,53.414,35.675,2.6662,0.5537129563691108,0.12055754684153504,0.5920876153828368
3,983.64,37.691,71.04,1.9036,1.1441674260240526,0.13166869503542616,1.1860788733547474
4,119.99,56.463,78.311,3.6602,0.21433796047511738,0.11143488622365946,0.2498087864258741
5,224.43,230.36,61.585,8.2937,0.03060672166864171,0.1591527498338566,0.08126661535409392
6,230.25,188.99,64.283,8.2484,0.011967829688885965,0.1556754766632406,0.061520872947169444
7,240.51,191.97,63.614,8.1589,0.015338543028081462,0.16116186801694982,0.06663795889372386
8,233.24,195.88,62.806,8.2359,0.014203894452805838,0.15040633133140935,0.062079716660228254
9,231.25,196.36,63.969,8.433,0.011112542556552668,0.15558411867989533,0.060636505665555535
10,231.37,197.05,63.885,8.38,0.010873586518799558,0.15165185657140737,0.05914587172360478
