Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
1285.2,4.6781,59.092,18.579,0.12529,0.066573,0.4879,0.16959,0.059416,0.085854,0.9946205321460502
1292.2,4.6744,59.158,18.594,0.12533,0.066587,0.48842,0.16964,0.059425,0.085907,0.9953130398377755
1265.7,4.6051,57.958,17.211,0.12408,0.065791,0.496,0.16746,0.059279,0.083619,0.996237422998282
1285.7,4.6858,57.403,17.598,0.12483,0.066236,0.49151,0.16912,0.059442,0.085119,0.9962470746672603
1285.6,4.6788,57.405,17.575,0.1248,0.066217,0.49193,0.16904,0.059436,0.085049,0.9964749061263267
1288.2,4.6753,58.888,18.603,0.1254,0.066625,0.48979,0.16976,0.059447,0.086008,0.9970313603928438
1284.5,4.649,57.497,17.555,0.12474,0.06617,0.4937,0.16881,0.059409,0.084844,0.9976712440684825
1288.7,4.7639,58.678,18.528,0.12543,0.066666,0.48978,0.1701,0.059522,0.08632,0.9978092348724178
1297.4,4.5709,57.431,17.117,0.12436,0.065873,0.49678,0.16788,0.059359,0.083917,0.9981577188219167
1275.0,4.5677,57.568,17.077,0.12412,0.065764,0.49834,0.16741,0.059307,0.083519,0.9984699299151576
