Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (curve),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
452.57,0.66813,117.35,10.928,0.089313,0.23504,0.065563,0.065678,0.12569,0.054683,0.6359672823552529
443.74,0.66051,120.84,10.428,0.089472,0.2453,0.065093,0.066293,0.12466,0.054544,0.6453637621874113
446.13,0.67701,117.5,10.831,0.089335,0.24589,0.065494,0.06578,0.12551,0.054641,0.6466494494643183
447.57,0.67069,118.95,10.74,0.089402,0.24657,0.065349,0.065913,0.12523,0.054624,0.6470812723754732
468.3,0.64543,117.09,10.671,0.088947,0.24626,0.065896,0.065806,0.12594,0.054664,0.6475117262211865
442.37,0.68467,117.56,10.866,0.089393,0.24712,0.065427,0.065769,0.12544,0.054636,0.6477853434337659
440.63,0.68505,117.02,10.877,0.089388,0.24853,0.065456,0.06575,0.12551,0.054633,0.6492656041663033
452.5,0.68053,117.34,11.069,0.089333,0.25012,0.065559,0.065546,0.12574,0.054713,0.651017064215616
438.82,0.68537,117.16,10.892,0.089443,0.25275,0.065394,0.065759,0.12543,0.05463,0.6534112383664094
462.96,0.65368,120.51,11.369,0.089778,0.25327,0.065099,0.065441,0.12532,0.054832,0.6537438259381976
