Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1603.7,0.50764,0.13064,2.884,0.17853,0.14935,0.67004,1.9579,0.26092,0.12333,0.14208,0.11567,0.15466,3.752534840211484
1541.9,0.42109,0.020708,2.651,0.18286,0.15402,0.22562,2.4394,0.25064,0.1261,0.13412,0.11985,0.15254,3.785138101807468
1629.9,0.52004,0.12673,2.8436,0.17826,0.14901,0.63988,2.0777,0.26055,0.12327,0.14155,0.11608,0.15437,3.840700776936074
1420.5,0.50544,0.20065,3.2583,0.17954,0.15183,1.2846,1.7664,0.26426,0.12333,0.14586,0.11277,0.15549,4.184063019166693
1431.4,0.51866,0.35906,3.3278,0.17906,0.15605,0.6224,2.425,0.26722,0.12291,0.147,0.11093,0.15567,4.186216334923656
1359.3,0.52303,0.33129,3.0914,0.17755,0.15587,0.84114,2.3122,0.26594,0.12248,0.14516,0.11287,0.15482,4.288066748853069
1420.5,0.5053,0.4795,3.0994,0.17752,0.15943,1.0603,2.0985,0.26765,0.12216,0.14518,0.1117,0.15524,4.297662967944075
1895.3,0.18891,0.20046,2.6222,0.18373,0.15425,0.8899,2.4761,0.26537,0.12535,0.14656,0.11023,0.16354,4.515000163602166
1412.8,0.50417,0.24086,3.3636,0.17987,0.15295,1.2303,2.1932,0.26549,0.12336,0.147,0.11171,0.15584,4.559676279514228
1604.1,0.55158,0.26583,3.1309,0.17817,0.15256,1.1406,2.2985,0.26504,0.12275,0.14454,0.11288,0.15473,4.569838457092166
