Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1922.2,0.12003,123.92,19.872,0.13017,0.16259,0.055919,0.083845,0.071579,0.062112,0.5662115512374023
1916.5,0.12031,123.76,19.872,0.13016,0.16285,0.055915,0.083841,0.071586,0.062113,0.5664610145109096
1920.7,0.12003,124.4,19.978,0.13018,0.16293,0.055947,0.083866,0.071543,0.062107,0.5665747292426063
1921.6,0.11987,124.29,19.894,0.13014,0.16319,0.055927,0.083871,0.071542,0.062107,0.5667761322482769
1917.8,0.12023,123.68,19.872,0.13017,0.16319,0.055915,0.083836,0.071594,0.062116,0.5668241985891104
1916.4,0.12033,123.65,19.83,0.13014,0.16334,0.055905,0.083843,0.071587,0.062113,0.5669357913919272
1914.2,0.12065,123.6,19.992,0.13025,0.16331,0.055941,0.083814,0.071617,0.062117,0.5670497315470006
1930.0,0.12009,123.4,19.917,0.1303,0.16335,0.055931,0.08379,0.071653,0.062121,0.5671433062660802
1907.9,0.12019,124.34,19.865,0.13004,0.16376,0.055913,0.083903,0.071504,0.062105,0.5672261373206338
1912.3,0.12074,123.51,19.954,0.13023,0.16364,0.05593,0.083814,0.07162,0.062117,0.5673459190555926
