Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
654.48,0.37398,127.07,9.4122,0.12331,0.063965,0.090794,0.19892,0.054717,0.066964,0.5986679312002114
645.89,0.38092,126.89,9.4266,0.12327,0.06399,0.090742,0.19945,0.054707,0.066947,0.5991048210724728
633.41,0.39096,126.9,9.405,0.12331,0.064009,0.090697,0.20208,0.054698,0.06691,0.6016967972112164
658.91,0.36839,127.42,9.4895,0.12297,0.063892,0.090878,0.2035,0.054705,0.067039,0.6029849517619345
633.05,0.38769,127.17,9.3536,0.12333,0.063948,0.090777,0.20372,0.0547,0.066925,0.6034003453445419
633.45,0.39186,126.92,9.4281,0.12326,0.064017,0.090683,0.20386,0.054696,0.06691,0.6034233804227181
640.79,0.3884,125.68,9.4132,0.12355,0.064131,0.090563,0.20362,0.054702,0.066896,0.6034602713768676
708.53,0.354,125.14,9.8448,0.12287,0.064234,0.090515,0.20508,0.054706,0.067089,0.6044926780340774
633.04,0.38665,127.22,9.3185,0.12341,0.063936,0.090798,0.20571,0.054703,0.066921,0.6054722666791121
629.78,0.39107,127.25,9.4935,0.1229,0.063936,0.09076,0.20768,0.054677,0.066974,0.6069267323582791
