Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1999.8,0.12029,125.97,9.0187,0.066047,0.088774,0.12853,0.066424,0.13662,0.055219,0.5416173651780518
1968.2,0.12133,126.57,9.0555,0.066072,0.088709,0.1286,0.066425,0.13773,0.055215,0.5427551219838912
1967.9,0.12145,126.59,9.0719,0.066095,0.088689,0.12861,0.066409,0.13794,0.055219,0.5429608656934228
1970.3,0.121,126.55,9.0704,0.066085,0.088698,0.12859,0.066414,0.13814,0.055221,0.5431454185001614
1999.2,0.11922,126.21,9.2069,0.066244,0.088584,0.12851,0.066277,0.1383,0.055269,0.5431760845849903
1965.8,0.12116,126.69,9.0942,0.066109,0.08867,0.1286,0.066398,0.13824,0.055225,0.5432392503111928
1998.6,0.12011,125.79,8.9914,0.066013,0.088803,0.12852,0.066456,0.13828,0.055208,0.5432750467069064
1969.6,0.12124,126.82,8.8971,0.065849,0.088911,0.12854,0.066575,0.13855,0.055177,0.5436042073366564
1967.7,0.12148,126.59,9.1156,0.06615,0.088638,0.12862,0.06637,0.13864,0.055228,0.543645770940604
1969.4,0.12145,126.56,8.8856,0.065851,0.088912,0.12855,0.066583,0.13875,0.055169,0.543812837574246
