Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
417.57,0.86294,121.44,14.099,7.2814e-05,0.12853,0.065511,0.088235,0.056366,0.062695,0.10292,0.5042543627338177
417.75,0.8661,119.69,14.078,7.2811e-05,0.12844,0.065564,0.088172,0.056317,0.062734,0.10735,0.508575357139208
416.99,0.86565,119.9,13.926,7.2806e-05,0.12833,0.065562,0.088202,0.05626,0.062841,0.10867,0.5098626613891464
417.32,0.85714,122.32,14.105,7.2632e-05,0.12863,0.065496,0.088266,0.056409,0.062668,0.11687,0.5183314924656481
414.87,0.8671,122.91,14.15,7.2814e-05,0.12855,0.065403,0.088343,0.056408,0.062655,0.12401,0.5253652026207349
420.02,0.86629,118.15,13.994,7.2815e-05,0.12835,0.065648,0.088094,0.056254,0.062805,0.12564,0.5267915851395939
418.57,0.86066,119.28,14.212,7.2889e-05,0.12861,0.0656,0.08812,0.05638,0.062634,0.12603,0.5273740385543125
416.63,0.87295,119.72,14.704,7.284e-05,0.12892,0.065426,0.08824,0.056577,0.062318,0.12666,0.5281388670040161
422.24,0.86673,120.64,14.087,7.2732e-05,0.12849,0.06557,0.088179,0.05633,0.062709,0.12699,0.5282617704995092
426.7,0.85365,118.18,14.507,7.2968e-05,0.129,0.065705,0.087994,0.056509,0.062407,0.12772,0.529327756189838
