Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1670.1,0.1642,121.71,4.1633,0.056735,0.15454,0.07013,0.13735,0.11031,0.054529,0.5835981376977488
1698.0,0.15928,121.35,4.3547,0.056187,0.15954,0.069761,0.13641,0.10778,0.054963,0.5846466440161759
1659.9,0.16543,121.58,4.1631,0.056735,0.15587,0.070127,0.13735,0.11031,0.054528,0.5849148455652701
1697.2,0.15928,121.39,4.3542,0.056189,0.15985,0.069763,0.13641,0.10779,0.054962,0.5849650804314918
1699.6,0.15835,121.62,4.3405,0.056221,0.16053,0.0698,0.13646,0.10797,0.054927,0.5858990706157343
1697.4,0.15955,121.13,4.3455,0.056209,0.16078,0.069772,0.13646,0.10789,0.054938,0.5860481689608154
1712.8,0.15874,120.6,4.4071,0.056058,0.16197,0.069653,0.13624,0.10711,0.05511,0.5861497923306722
1693.7,0.15927,121.77,4.3516,0.056196,0.16114,0.069777,0.1364,0.10783,0.054954,0.5862982194473162
1694.9,0.15935,121.35,4.3575,0.056179,0.16167,0.069759,0.13639,0.10775,0.05497,0.5867186444227118
1701.0,0.15889,120.93,4.3704,0.056145,0.16195,0.069731,0.13636,0.10758,0.055006,0.5867707909876606
