Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
649.94,4.0116,301.55,182.03,467.36,57.41,78.501,16.184,0.22738,0.14538,0.035318,0.38545,0.055823,0.11127,0.04366,0.1238,0.14068,1.2687532230941694
649.93,4.0047,278.06,187.72,473.92,63.292,77.666,16.184,0.22748,0.14595,0.035283,0.38937,0.055838,0.11159,0.044602,0.12367,0.14091,1.274692040388759
649.96,4.2414,287.52,184.33,464.71,58.219,78.118,16.204,0.22756,0.1458,0.034914,0.39614,0.056216,0.11208,0.043935,0.12373,0.14052,1.2808795891151386
649.96,4.0086,301.55,177.79,465.39,51.623,78.402,16.211,0.22757,0.14528,0.035432,0.39848,0.056039,0.11129,0.043418,0.12406,0.1408,1.2823802229760761
649.57,3.9937,279.37,181.87,463.85,59.096,78.431,16.137,0.22751,0.14558,0.035455,0.40072,0.056125,0.11147,0.044407,0.12373,0.14065,1.2856433469056194
649.94,4.0334,290.2,183.02,469.1,58.281,78.921,16.184,0.22748,0.14555,0.0353,0.40238,0.055977,0.11144,0.044064,0.12381,0.1407,1.2866935471331375
650.18,3.9263,301.06,185.37,465.84,48.256,78.988,16.185,0.2276,0.14534,0.035443,0.40351,0.056314,0.11212,0.043671,0.1241,0.14106,1.2891560602928198
649.93,3.8841,280.85,168.93,470.02,59.781,78.575,16.133,0.22751,0.14522,0.035949,0.41218,0.055701,0.11086,0.044212,0.12397,0.14068,1.296274262179197
649.94,3.9336,290.37,173.5,465.64,58.162,79.274,16.283,0.22751,0.14527,0.035532,0.42186,0.055867,0.11097,0.043792,0.12394,0.14053,1.305269862034082
649.93,3.9596,280.6,182.73,457.75,49.297,78.896,16.132,0.22771,0.14542,0.035561,0.42104,0.056654,0.11243,0.04424,0.12401,0.14083,1.307886079422576
