Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
386.75,1.082,187.04,3.3063,0.064063,0.14328,0.059183,0.1308,0.50491,0.074067,0.9763037147821334
385.03,1.0656,187.3,3.3129,0.06402,0.14328,0.059144,0.13071,0.50814,0.074025,0.9793210126444662
386.49,1.0665,184.19,3.4082,0.063084,0.14233,0.058386,0.12875,0.51521,0.073458,0.9812158108883381
386.7,1.0654,182.89,3.333,0.063751,0.14305,0.058892,0.13016,0.51331,0.073864,0.9830274305669208
390.84,1.0573,184.14,3.4494,0.062671,0.14192,0.058054,0.12786,0.52477,0.073223,0.9884935030753393
386.72,1.0656,180.95,3.3617,0.063458,0.14276,0.058647,0.12954,0.52108,0.073676,0.9891628383055653
386.6,1.091,175.9,3.2183,0.064762,0.14404,0.059698,0.13227,0.51792,0.074583,0.9932674717611967
386.29,1.05,187.33,3.241,0.064701,0.14399,0.05968,0.13209,0.52272,0.074466,0.9976419786977103
382.28,1.0875,181.8,3.2301,0.064776,0.14401,0.059762,0.13228,0.52987,0.074552,1.0052532114249073
388.13,1.0991,180.17,3.3089,0.063928,0.14315,0.059037,0.13055,0.53604,0.074012,1.0067180018545394
