Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g190),Error (g60),Error (g278),Error (g79),Error (g237),Error (g189),Error (g178),Error (g215),Reduced Error
1981.0,0.3053,88.145,2.2647,1.1776,0.18336,0.10769,0.10046,0.081773,0.18214,0.23351,0.077394,0.031718,2.1756421812022353
1994.5,0.3056,87.498,2.2966,1.2138,0.1832,0.10779,0.10029,0.081659,0.18176,0.23338,0.077154,0.031495,2.210549715037449
1946.7,0.30512,91.452,2.2669,1.2464,0.18357,0.1078,0.10075,0.081573,0.18216,0.23332,0.07712,0.031549,2.2442428458205637
1738.1,0.29412,166.23,1.644,1.2197,0.18895,0.10785,0.10546,0.085594,0.19132,0.23692,0.083849,0.038064,2.2577563258293014
1988.9,0.30445,261.46,1.0017,1.1848,0.19508,0.11033,0.10717,0.09544,0.19564,0.24606,0.092232,0.04357,2.2702815338290407
1989.9,0.30453,261.48,1.0016,1.1848,0.19508,0.11033,0.10717,0.095446,0.19563,0.24607,0.092238,0.043572,2.2703541398240534
1989.1,0.30462,261.46,1.0021,1.185,0.19507,0.11032,0.10717,0.095432,0.19563,0.24605,0.092228,0.043566,2.2704717350860264
1911.4,0.30085,92.707,2.2801,1.2741,0.18368,0.10793,0.10093,0.081366,0.18201,0.23313,0.076741,0.031286,2.2711728232244472
1978.5,0.30655,263.31,1.0018,1.1864,0.19505,0.11029,0.10721,0.095374,0.19564,0.24599,0.092167,0.043526,2.2717024897669416
1986.5,0.3031,261.45,1.0078,1.1897,0.19501,0.11033,0.10718,0.09534,0.19561,0.24596,0.092164,0.04353,2.2748180408682543
