Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1848.1,0.13908,127.55,4.9916,0.069203,0.055001,0.10154,0.056992,0.25159,0.13307,0.6674017050649689
1847.0,0.13918,127.3,4.9924,0.069199,0.054997,0.10152,0.057004,0.25174,0.13308,0.6675358545586787
1850.7,0.13943,127.43,4.984,0.069195,0.055013,0.10158,0.056977,0.25191,0.13313,0.6678060534666383
1843.5,0.13911,127.01,4.9706,0.069223,0.055003,0.10165,0.056939,0.25237,0.13312,0.6683045012334037
1872.6,0.13812,126.78,4.9966,0.069134,0.055023,0.10147,0.057041,0.2528,0.13321,0.668685794902965
1873.7,0.13807,126.96,4.9798,0.06915,0.055039,0.10161,0.056979,0.2528,0.13326,0.6688298415903391
1867.4,0.13813,126.92,4.9975,0.069149,0.055016,0.10148,0.057036,0.25313,0.13317,0.6689797690196297
1864.8,0.1379,127.73,4.9735,0.069195,0.055035,0.10171,0.056924,0.25341,0.13318,0.6694514027747788
1860.4,0.1379,127.65,4.9398,0.069236,0.055053,0.10195,0.056813,0.25325,0.13325,0.6695515326045498
1860.6,0.13794,127.66,4.9406,0.069234,0.055053,0.10194,0.056816,0.25344,0.13325,0.6697298065487161
