Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1904.6,0.18174,155.21,4.9699,0.12557,0.099263,0.067057,0.039359,0.11113,0.23691,0.1345,0.21842,0.046414,1.0786236338790094
1950.0,0.1749,155.21,5.2963,0.12698,0.099948,0.064644,0.037211,0.11105,0.23993,0.13423,0.21842,0.046713,1.079139580505983
1937.7,0.1753,154.83,5.3398,0.12717,0.1,0.064327,0.036956,0.11102,0.24061,0.13421,0.21842,0.046737,1.0794533540046642
1944.7,0.17514,154.84,5.3398,0.12718,0.10001,0.064333,0.036966,0.11102,0.24059,0.13421,0.21842,0.046732,1.0794549673965514
1943.9,0.17654,155.43,4.8123,0.12481,0.098974,0.068361,0.040756,0.11118,0.23617,0.13465,0.21842,0.04615,1.0794694968440526
1941.8,0.17507,155.65,4.9907,0.12562,0.099342,0.066871,0.03922,0.11112,0.23803,0.13448,0.21841,0.046445,1.0795234266327223
1942.9,0.17727,154.04,4.8833,0.12518,0.099102,0.067778,0.040113,0.11116,0.23711,0.13458,0.21843,0.046233,1.0796913833644612
1943.5,0.17609,154.6,5.3398,0.12719,0.10001,0.064343,0.036972,0.11102,0.24265,0.13421,0.21842,0.046719,1.0815425105738479
1944.4,0.17641,155.71,4.6887,0.12421,0.0987,0.069456,0.042014,0.11121,0.2368,0.13479,0.21844,0.045922,1.0815433295756736
1935.0,0.17563,154.14,5.3939,0.12743,0.10008,0.063941,0.036661,0.11099,0.24348,0.13417,0.21842,0.046754,1.0819271133559187
