Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
378.4,849.13,99.418,2.1683,0.11339,0.14361,0.042357,0.12234,0.2252,0.11619,0.10389,0.33627,0.09645,1.2996937378337592
377.98,864.96,101.1,2.1711,0.1135,0.14362,0.042272,0.12253,0.22515,0.11613,0.10403,0.33824,0.096491,1.3019567384106154
380.83,866.44,100.03,2.1715,0.1135,0.14362,0.042263,0.12253,0.22516,0.11614,0.10402,0.33858,0.096453,1.3022571120907966
379.37,854.74,99.357,2.1846,0.11308,0.1435,0.042313,0.12225,0.22508,0.11615,0.10347,0.34231,0.096446,1.3045979627936999
379.67,849.01,99.67,2.1713,0.11331,0.14359,0.04234,0.12233,0.22518,0.11617,0.10379,0.34178,0.096448,1.3049320473734016
379.74,850.45,99.859,2.1721,0.11331,0.14359,0.04233,0.12235,0.22517,0.11616,0.10378,0.34264,0.096452,1.3057739194954725
318.76,799.96,83.01,2.5806,0.10392,0.1406,0.043186,0.11709,0.22221,0.11704,0.091421,0.38245,0.095148,1.313069082925145
367.46,843.18,96.476,2.2257,0.112,0.14311,0.042451,0.12148,0.22479,0.11628,0.10207,0.35536,0.096329,1.3138747318222783
318.06,796.67,83.017,2.5795,0.10391,0.14061,0.043198,0.11707,0.22222,0.11704,0.091414,0.38348,0.095142,1.3140851001880294
317.66,796.71,82.864,2.5845,0.10381,0.14058,0.043205,0.11703,0.22219,0.11706,0.091284,0.38415,0.095131,1.3144320354064756
