Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
8.4057,0.85071,121.6,1.3433,0.1412,0.10329,0.09397,0.02908,0.03375,0.16605,0.1246,0.26197,1.1103,2.06418192569678
19.164,1.0557,76.422,2.5643,0.13384,0.086533,0.17781,0.033252,0.022169,0.15636,0.1117,0.2679,1.0892,2.0787800598511383
32.424,0.62095,127.62,12.82,0.11818,0.084708,0.79317,0.036124,0.033807,0.11833,0.11571,0.27559,0.73324,2.3088513653706433
337.87,19.518,17.988,1.0562,0.13925,0.20631,0.19086,0.13905,0.178,0.22274,0.18696,0.22147,0.8796,2.364239948294049
338.44,18.574,17.329,1.0369,0.14007,0.20679,0.18887,0.13917,0.178,0.22395,0.18669,0.2216,0.90615,2.3912856769544097
333.68,17.369,17.114,1.0418,0.14059,0.20676,0.19001,0.13735,0.17606,0.2236,0.18575,0.22155,0.9372,2.418869718735909
1.922,0.26207,84.055,1.744,0.14276,0.084689,0.4342,0.055221,0.028864,0.16982,0.11958,0.28088,1.1047,2.4206814042345437
370.28,19.032,15.376,1.0055,0.13981,0.20725,0.18221,0.14349,0.18175,0.22797,0.18841,0.22177,0.93355,2.4262027152201076
369.61,17.746,14.913,1.0076,0.14026,0.20732,0.18215,0.14214,0.18017,0.22797,0.18761,0.22169,0.95762,2.44692373579522
367.42,19.968,15.657,1.0475,0.13839,0.20634,0.18637,0.1425,0.1809,0.226,0.18852,0.22146,0.96431,2.4547903578623584
