Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545763
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545763
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545763
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545763
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545763
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545764
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545764
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545764
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545764
332.98,2.246,123.28,6.3441,0.053475,0.05347493126545764
