Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
880.87,0.50254,151.84,2.9221,0.15304,0.45713,0.24847,0.093952,0.17926,0.17816,0.072012,0.15549,0.10193,1.6394307459058866
883.05,0.50284,151.83,2.933,0.1529,0.46671,0.24852,0.093948,0.17916,0.17819,0.071946,0.15529,0.10186,1.648511946910719
883.89,0.50092,152.12,2.9433,0.15276,0.46879,0.2486,0.093942,0.1791,0.17821,0.071889,0.15509,0.10179,1.6501633356734446
867.06,0.51138,151.86,2.9037,0.15325,0.46883,0.2484,0.094016,0.17943,0.17811,0.072132,0.15577,0.10205,1.6519995187836243
896.5,0.49052,156.36,2.9436,0.15284,0.4743,0.24865,0.093799,0.1792,0.17822,0.07198,0.15519,0.10184,1.6560116107236422
885.09,0.49191,151.95,2.9215,0.15303,0.47427,0.24852,0.09393,0.17931,0.17816,0.072012,0.15547,0.10192,1.6566353432284302
873.73,0.51063,151.73,2.8776,0.15365,0.47245,0.24816,0.093992,0.17956,0.17805,0.072293,0.15635,0.10225,1.6567534945157583
873.77,0.51214,152.24,2.873,0.15372,0.47235,0.24812,0.093986,0.1796,0.17803,0.072335,0.15645,0.10229,1.6568961787189866
866.44,0.51579,152.27,2.8787,0.15362,0.47279,0.2482,0.094012,0.17959,0.17804,0.072304,0.15629,0.10224,1.6571027621962442
877.46,0.51062,151.78,2.8676,0.15381,0.47447,0.24805,0.093989,0.17961,0.17802,0.072356,0.15658,0.10233,1.6592303464068916
