Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1410.6,0.18365,121.08,7.0551,0.062608,0.13014,0.13994,0.092202,0.067576,0.055075,0.5475421797034007
1412.5,0.18305,121.13,6.9185,0.062397,0.13045,0.1406,0.092545,0.067654,0.055082,0.5487252798321727
1411.3,0.1835,120.89,6.6438,0.061828,0.13088,0.15123,0.093383,0.067756,0.055059,0.5601392314232615
1410.2,0.18136,122.11,6.58,0.061663,0.13095,0.1567,0.093618,0.067798,0.055074,0.565803763184587
1415.7,0.18137,122.03,6.3138,0.06106,0.13132,0.15907,0.094502,0.067967,0.055014,0.5689291400395091
1391.7,0.18196,124.14,6.9076,0.06232,0.13045,0.16235,0.092641,0.067662,0.055146,0.5705635893507875
1397.0,0.18269,123.39,6.0908,0.060497,0.13159,0.16262,0.095349,0.068182,0.054978,0.5732167614023836
1396.4,0.18326,123.49,6.0701,0.060445,0.13162,0.16385,0.095425,0.068197,0.054968,0.574505144608359
1402.5,0.18215,124.07,6.0707,0.06044,0.13162,0.1671,0.095436,0.068196,0.054978,0.5777643735421724
1399.3,0.18284,123.55,6.0158,0.060309,0.13168,0.16756,0.095629,0.068254,0.054946,0.5783789714462889
