Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
596.85,0.61641,145.75,9.6263,0.15841,0.11897,0.12366,0.056081,0.14122,0.12006,0.47157,0.070402,0.49343,1.7537934663455161
615.33,0.60058,145.29,9.5497,0.15846,0.11903,0.12388,0.05617,0.14103,0.11937,0.46234,0.070375,0.53805,1.788715080856798
603.04,0.6248,151.93,9.5983,0.15845,0.11872,0.12378,0.05608,0.14086,0.12187,0.51456,0.069774,0.50787,1.8119724356546991
591.56,0.63105,152.2,9.6384,0.15846,0.11865,0.12363,0.056034,0.141,0.12251,0.53346,0.069814,0.48881,1.8123746979519126
558.85,0.65901,147.24,9.6882,0.15849,0.11867,0.12342,0.056052,0.14139,0.12252,0.54306,0.070247,0.48278,1.8166387229197358
593.28,0.62976,142.44,9.5825,0.15836,0.11919,0.12385,0.056133,0.14123,0.11884,0.49324,0.070642,0.53603,1.817508174067994
593.27,0.62998,142.43,9.5796,0.15836,0.11919,0.12386,0.056137,0.14122,0.11884,0.49295,0.070639,0.53793,1.8191174523206297
598.78,0.62448,143.34,9.5331,0.15844,0.11914,0.12393,0.056194,0.14106,0.1191,0.47814,0.070495,0.55549,1.8219904626750978
608.87,0.61576,146.17,9.4771,0.15855,0.11899,0.12402,0.056269,0.14076,0.11994,0.445,0.070139,0.58865,1.822320231720525
613.2,0.62344,145.15,9.5034,0.15842,0.11913,0.12407,0.056244,0.14081,0.11902,0.44212,0.070235,0.59327,1.8233252369690203
