Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1999.0,0.11569,124.75,19.63,0.13076,0.16578,0.055936,0.084179,0.071276,0.062109,0.5700386393052218
1998.9,0.11569,124.76,19.645,0.13077,0.1658,0.05594,0.084181,0.071276,0.062109,0.5700704226000075
1999.0,0.11568,124.73,19.609,0.13075,0.16583,0.05593,0.084176,0.071278,0.062111,0.5700728251155035
1998.3,0.1156,124.82,19.62,0.13073,0.16599,0.055933,0.084185,0.071265,0.062109,0.5702075054752639
1997.6,0.11527,124.69,19.472,0.13062,0.1668,0.05589,0.084181,0.071255,0.062121,0.5708676997850433
1999.2,0.11553,124.82,19.692,0.13077,0.16677,0.055954,0.084195,0.071263,0.062106,0.5710564995612561
2000.0,0.11594,124.31,19.5,0.13079,0.16687,0.055901,0.084138,0.071322,0.062123,0.5711416281576844
2000.0,0.11566,124.36,19.427,0.13072,0.1671,0.055881,0.084147,0.0713,0.062128,0.5712703029457384
1999.8,0.11507,125.06,19.627,0.13066,0.16727,0.055937,0.084221,0.071218,0.062106,0.5714030452555853
1999.0,0.11636,124.94,19.983,0.131,0.1668,0.056035,0.084213,0.071275,0.062087,0.5714107278153955
