Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
304.44,768.76,81.76,3.3314,0.092424,0.13852,0.04354,0.1136,0.21923,0.11954,0.074764,0.38558,0.095581,1.282787967024746
306.91,762.08,81.295,3.332,0.092233,0.13849,0.043531,0.11354,0.21927,0.11955,0.074494,0.38626,0.095603,1.282963498555828
306.11,758.75,81.596,3.3173,0.092386,0.13851,0.043505,0.11359,0.2193,0.11946,0.074741,0.38676,0.09562,1.2838762635105987
305.78,753.52,81.678,3.3351,0.092066,0.13847,0.043521,0.11352,0.21926,0.11952,0.074316,0.38827,0.095628,1.284568286845917
304.36,759.07,81.203,3.324,0.092343,0.13851,0.043531,0.11356,0.21928,0.11952,0.074661,0.39532,0.095588,1.292307873634388
310.07,759.0,80.28,3.331,0.092117,0.13847,0.043532,0.11347,0.21932,0.11959,0.074293,0.39731,0.095608,1.2937049057274106
307.38,759.34,81.759,3.329,0.092216,0.13849,0.043511,0.11356,0.21927,0.1195,0.074504,0.39758,0.095632,1.2942564054109362
305.94,775.31,81.977,3.3555,0.092196,0.13848,0.043567,0.11357,0.21917,0.11964,0.074424,0.40379,0.095581,1.3004126200020196
301.26,756.38,82.226,3.5164,0.090009,0.13822,0.04372,0.11315,0.21877,0.12023,0.071488,0.41,0.095681,1.3012687371322675
306.98,763.43,82.194,3.3188,0.092437,0.13851,0.043494,0.11363,0.21928,0.11944,0.074822,0.40744,0.095637,1.304695269326308
