Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1593.6,0.34551,193.41,1.4904,0.18878,0.12236,0.7703,0.17135,0.25502,0.1881,0.20332,0.10163,0.12625,2.1271084675768903
1531.4,0.35253,197.37,1.469,0.18927,0.12283,0.78276,0.17195,0.25505,0.18861,0.2003,0.10235,0.12642,2.1395355386033694
1929.2,0.22401,220.99,1.503,0.18866,0.12254,0.78542,0.17181,0.25551,0.18769,0.20576,0.10039,0.12629,2.1440760251834523
1438.3,0.39612,192.87,1.5006,0.18857,0.12203,0.77482,0.17101,0.25503,0.18781,0.24048,0.10118,0.12606,2.1670095114812082
1525.5,0.37328,192.49,1.4986,0.18858,0.12211,0.81689,0.17104,0.25499,0.18791,0.21541,0.10143,0.12614,2.1844970966398796
1529.2,0.22676,245.49,1.5703,0.18665,0.12104,0.70407,0.1703,0.25621,0.1854,0.34742,0.099032,0.12554,2.195652622414737
1867.3,0.2333,242.94,1.3629,0.19179,0.12561,0.86695,0.17496,0.2551,0.19147,0.20006,0.10543,0.12753,2.2388880314462916
1507.6,0.36879,188.29,1.5364,0.18775,0.12134,0.69711,0.17012,0.25511,0.18696,0.40093,0.10024,0.12579,2.245346883793775
1969.9,0.20251,240.01,1.4086,0.19098,0.1246,0.88458,0.17403,0.2553,0.1903,0.20027,0.10313,0.12705,2.250243818959474
1505.8,0.36599,191.96,1.4689,0.18927,0.12277,0.89501,0.17185,0.25496,0.18866,0.19978,0.10305,0.12641,2.251754085813895
