Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
302.1,48.538,76.921,13.053,0.13199,0.11154,0.35085,0.22406,0.03637,0.033614,0.10861,0.050722,0.14161,1.189362231778056
302.42,49.064,76.531,13.12,0.13196,0.11158,0.35103,0.2241,0.036405,0.033669,0.10876,0.050703,0.14171,1.1899126327991634
301.75,47.342,77.249,12.847,0.13207,0.11142,0.35308,0.22399,0.036336,0.033551,0.10838,0.050741,0.14147,1.1910376155911369
305.09,48.588,76.323,13.008,0.13201,0.11149,0.3675,0.22413,0.036371,0.033769,0.10877,0.050674,0.14182,1.206523052908838
305.09,48.119,76.323,13.008,0.13202,0.11148,0.36841,0.22413,0.036349,0.033802,0.10875,0.05068,0.14183,1.207471560988962
297.28,47.859,77.311,13.005,0.13199,0.11155,0.37041,0.22398,0.036386,0.033445,0.10839,0.05079,0.14132,1.2082705319724176
302.57,50.013,76.249,12.932,0.13198,0.11151,0.37052,0.22407,0.036468,0.03361,0.10875,0.050693,0.14167,1.209267971494783
303.89,48.739,76.571,12.52,0.13213,0.11127,0.37387,0.22396,0.036455,0.033525,0.10843,0.050695,0.14149,1.2118356323023305
302.26,51.937,77.561,12.411,0.13214,0.11127,0.38984,0.22384,0.036501,0.033273,0.10824,0.05079,0.14128,1.2271577684781954
303.33,51.585,77.479,12.067,0.13227,0.11104,0.39663,0.22377,0.036518,0.033264,0.10812,0.05079,0.14121,1.2336097616717183
