Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
951.33,0.44192,164.61,2.889,0.15371,0.38071,0.24852,0.093998,0.17984,0.17861,0.07201,0.15731,0.10248,1.5671963311356223
951.48,0.44364,164.61,2.893,0.15366,0.38399,0.24852,0.094004,0.17979,0.17863,0.071985,0.15726,0.10245,1.5702920060628074
952.23,0.44193,165.62,2.8895,0.1537,0.38594,0.24854,0.093997,0.17986,0.17862,0.072015,0.15732,0.10249,1.5724922324640935
972.96,0.42971,165.62,2.9004,0.15357,0.38692,0.24861,0.09404,0.17976,0.17867,0.07194,0.15717,0.10242,1.5730918765207562
947.5,0.44817,164.74,2.8873,0.15374,0.38803,0.24847,0.093974,0.17983,0.1786,0.072033,0.15736,0.1025,1.5745297267431202
985.02,0.4227,165.21,2.917,0.15337,0.38919,0.24867,0.094095,0.17959,0.17875,0.07182,0.15693,0.1023,1.5747173059962023
984.96,0.42271,165.21,2.9176,0.15336,0.38938,0.24868,0.094097,0.17958,0.17875,0.071815,0.15692,0.1023,1.574880880309955
970.78,0.42884,164.58,2.8876,0.15373,0.38836,0.24855,0.094008,0.17988,0.17861,0.072022,0.15732,0.10249,1.5749609865827168
981.57,0.42176,165.8,2.9009,0.15356,0.389,0.24866,0.094055,0.17979,0.17868,0.071933,0.15715,0.10241,1.5752368298598607
979.34,0.42276,165.0,2.9182,0.15333,0.38974,0.24871,0.094111,0.1796,0.17876,0.071798,0.1569,0.10229,1.5752424406609267
