Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
125.21,8.9516,57.517,15.089,8.1488e-06,0.25931,0.041163,0.030328,0.028118,0.23648,0.020103,0.1025833931612951
120.07,3.9815,46.622,11.621,1.0447e-06,0.26203,0.040934,0.030834,0.02894,0.23387,0.020535,0.1028566994874937
275.04,165.07,63.382,11.24,4.7439e-05,0.27409,0.039782,0.031841,0.028421,0.22827,0.020591,0.10383297254452793
280.11,174.96,62.7,10.998,4.5241e-05,0.27463,0.039824,0.031843,0.028493,0.22827,0.020528,0.10393025036112961
272.57,166.57,63.284,11.351,4.5297e-05,0.27395,0.039827,0.031857,0.028427,0.22931,0.020617,0.10399713327343572
275.42,168.52,63.638,10.913,4.8634e-05,0.27427,0.039871,0.031773,0.028487,0.23022,0.020508,0.10418831181242422
280.98,172.47,62.789,11.234,4.6638e-05,0.27449,0.039784,0.031861,0.028427,0.23337,0.020604,0.10475507180350187
280.85,169.56,62.764,11.378,4.4858e-05,0.27436,0.039743,0.031895,0.028401,0.235,0.020638,0.105006883348409
270.33,175.9,63.359,11.227,4.6288e-05,0.27399,0.039979,0.031808,0.028487,0.23613,0.020594,0.10516339632638094
270.73,177.08,63.322,11.626,4.5865e-05,0.27376,0.039991,0.031844,0.028418,0.23886,0.02071,0.10559708711566212
